/*List all of the cities within the countries of Canada, Austria, 
Isle of Man, Ireland and Japan.*/

SELECT city, country FROM Address WHERE country="Canada" OR country="Austria" OR country="Isle of Man" OR country="Ireland" OR country="Japan" GROUP BY city ORDER BY country;

+----------------+-------------+
| city           | country     |
+----------------+-------------+
| Tauranga       | Austria     |
| Vienna         | Austria     |
| Alness         | Austria     |
| Zwickau        | Austria     |
| Shimla         | Austria     |
| Bodmin         | Austria     |
| Siedlce        | Austria     |
| Dubbo          | Austria     |
| Edmundston     | Austria     |
| Hamburg        | Austria     |
| Angers         | Canada      |
| Baulers        | Canada      |
| Hillsboro      | Canada      |
| Pietraroja     | Canada      |
| Anápolis       | Canada      |
| Calmar         | Canada      |
| Satara         | Canada      |
| Quesada        | Canada      |
| Tirrases       | Canada      |
| Springfield    | Canada      |
| San Francisco  | Canada      |
| Rollegem       | Canada      |
| Moulins        | Canada      |
| Cork           | Canada      |
| Mabompr?       | Canada      |
| Jackson        | Ireland     |
| Chestermere    | Ireland     |
| Cartago        | Ireland     |
| Lasnigo        | Ireland     |
| Kraków         | Ireland     |
| Terneuzen      | Ireland     |
| Meridian       | Ireland     |
| Cagnes-sur-Mer | Ireland     |
| Galway         | Ireland     |
| Assen          | Ireland     |
| Raj Nandgaon   | Ireland     |
| Ogbomosho      | Isle of Man |
| Pabianice      | Isle of Man |
| Chartres       | Isle of Man |
| Kailua         | Isle of Man |
| Ceyhan         | Isle of Man |
| Belfast        | Isle of Man |
| Denderbelle    | Isle of Man |
| Dover          | Isle of Man |
| San Vicente    | Isle of Man |
| Horsham        | Isle of Man |
| Nagaon         | Isle of Man |
| Bremerhaven    | Isle of Man |
| Houston        | Japan       |
| Abbeville      | Japan       |
| Milena         | Japan       |
| Bozeman        | Japan       |
| Rzeszów        | Japan       |
| Berlin         | Japan       |
| ?slahiye       | Japan       |
| Pontevedra     | Japan       |
+----------------+-------------+

56 rows;
